id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.766414642333984,-105.0020980834961,Entire home/apt,161,30,181,2024-03-02,2.53,2,110,3,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.47,1,358,0,
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,70,1,726,2024-05-22,3.91,2,236,24,2021-BFN-0000578
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,64,15,175,2024-06-02,0.94,2,219,7,2021-BFN-0000578
1940,Baker Studio: Private-full kitchen-W/D-walkable,2150,Joanne,,Baker,39.72020510811656,-104.99749898910522,Entire home/apt,88,1,183,2024-06-27,2.02,1,231,51,2018-BFN-0002596
21745,Alexandra's King Bed Room Long-term Only,990,Alexandra,,North Capitol Hill,39.7449,-104.97711,Private room,43,30,236,2024-04-13,1.36,1,320,2,
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,108,4,169,2024-05-16,1.01,1,318,19,2020-BFN-0000193
39405,LoHi Secret Garden at Mulberry at Denver Cottages,666,Jennifer & Giovanni,,Highland,39.76605337851223,-105.00307815462764,Entire home/apt,137,3,699,2024-06-10,4.13,2,65,42,2022-BFN-0010458
154999,Midland Lofts 209: In the Heart of Downtown,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,169,29,11,2011-12-13,0.07,4,302,0,
192430,Treetop View Room East City Park 1-2 months,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,36,29,133,2024-04-19,0.85,1,150,4,
217996,Highland Snug - Down,10730,William,,Highland,39.75897895304772,-105.01058308780986,Entire home/apt,90,30,12,2022-03-28,0.11,3,153,0,
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,181,29,143,2024-05-30,0.96,1,323,3,
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.7172,-104.99767,Private room,83,1,169,2024-05-26,1.55,2,299,33,2017-BFN-0008931
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,59,3,413,2024-05-27,2.83,1,40,27,2019-BFN-0009249
504080,Creative Haven in Artist’s Abode,2370964,Andrea,,Clayton,39.76574,-104.95379,Entire home/apt,115,3,89,2023-11-02,0.61,1,110,6,2017-BFN-0001679
548897,"TreeHouseSuite, in Healing Center ~30 DAYS OR MORE",1313972,Heather,,City Park,39.74247,-104.95916,Private room,53,30,163,2023-10-18,1.17,2,147,1,
575758,a REAL warehouse LOFT,2832150,Kerry,,Five Points,39.76561,-104.97945,Entire home/apt,200,180,37,2017-01-09,0.30,1,365,0,
632709,1890 townhome in popular LoHi! 2018-BFN-0009355,2157095,Valerie,,Highland,39.76468,-105.00883,Entire home/apt,143,29,154,2020-03-13,1.15,1,142,0,
665622,Cozy Central Loft -Walkable to Everything - 2BR,3364096,Becky,,Highland,39.7616,-105.01235,Entire home/apt,112,29,859,2024-03-16,5.96,2,58,3,
676825,Beautiful Home in Charming Location,3440535,Krista,,Stapleton,39.75706,-104.88374,Entire home/apt,200,4,221,2024-06-27,1.54,1,83,28,2016-BFN-0007545
715123,Neighborhood Gem! Stylish Platt Park Bungalow,3654159,Dave & Lisa,,Platt Park,39.69381,-104.98364,Entire home/apt,148,3,122,2024-06-17,3.00,1,24,26,2021-BFN-0000478
732845,"RiNo Breweries, Food, Music & Art just steps away!",3816358,John,,Five Points,39.759,-104.98106,Entire home/apt,556,2,193,2024-05-28,1.36,1,221,17,2017-BFN-0000827
746298,Urban Retreat with Private Bath,3915386,Mary,,Lowry Field,39.72535,-104.89616,Private room,,30,91,2024-06-10,0.81,1,14,4,2016-BFN-0008025
756594,Private lower level 2 bedroom suite,3638426,Ling & Chris,,South Park Hill,39.74027,-104.91516,Entire home/apt,78,2,413,2024-06-19,2.98,1,304,32,2016-BFN-0008363
774712,"ZEN! Location! Cute,Quiet,nosmoking,CLEAN!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,59,29,38,2023-03-11,0.27,6,324,0,
776434,Super-comfortable Modern Home 3 Bdr -Platt Park DU,3344763,Steve,,Platt Park,39.68403,-104.98296,Entire home/apt,233,3,109,2024-06-17,0.78,3,248,5,2023-BFN-0012138
915016,Cozy Capitol Hill Accommodation,4911774,Tim And Cindy,,Capitol Hill,39.73572,-104.97783,Entire home/apt,87,30,330,2024-06-16,2.45,1,267,4,2020-BFN-0000493
921485,Stylish & Historic LoHi Loft w/ Views and Parking,3378084,Alexandra,,Highland,39.75838,-105.01479,Entire home/apt,110,29,69,2022-12-09,0.50,2,203,0,
953052,Congress Park Cottage,5173501,Steve,,Congress Park,39.7325,-104.94919,Entire home/apt,100,30,3,2023-06-18,0.03,1,365,0,
958612,DENVER SUITE MOUNTAIN VIEW GREAT LOCATION,5216325,Julia,,CBD,39.74646,-104.99688,Entire home/apt,105,30,12,2022-06-02,0.10,4,333,0,
1041934,"Private apt in Berkeley, MTN Views!",5811115,Annette,,Berkeley,39.78027,-105.03808,Entire home/apt,165,30,39,2024-01-31,0.29,5,220,2,
1042331,Beautiful Apt in Berkeley/Highlands,5811115,Annette,,Berkeley,39.77983,-105.03936,Entire home/apt,145,30,51,2024-06-10,0.37,5,208,2,
1069351,Historic Denver Bungalow- 30+ day rentals only,3577356,Bonnie,,Sunnyside,39.77389,-105.0106,Entire home/apt,100,30,5,2018-11-17,0.04,1,333,0,
1082572,Available Now! Private Yard & Parking. Dogs OK.,879998,Wade,,Baker,39.71466,-104.99192,Entire home/apt,,30,48,2024-05-01,0.37,4,0,2,
1087609,Private Denver condo near Capitol,5124037,Darja,,Capitol Hill,39.73442,-104.98344,Entire home/apt,86,29,23,2023-12-15,0.17,3,333,2,
1220547,Sunny Southwest Exposure! Brooks Tower One-Bed 5A,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,80,30,3,2021-08-31,0.02,19,29,0,
1223593,Sweet and sunny in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73704,-104.96965,Private room,60,29,161,2024-05-14,1.23,3,319,1,
1223612,Suite of rooms in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73165,-104.97057,Private room,58,29,187,2023-10-31,1.39,3,311,2,
1279362,City Living! Brooks Tower 5M,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,50,30,11,2023-08-19,0.08,19,32,1,
1279576,2x2 w/Private Balcony! Brooks Tower 5J,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,98,30,6,2023-08-11,0.04,19,29,1,
1288109,Downtown Studio w/Great Location: Brooks Tower 4M,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,58,30,6,2021-07-31,0.05,19,29,0,
1288126,Spacious Studio! Brooks Tower 6B,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,58,30,9,2021-03-22,0.07,19,29,0,
1309159,Logan Square Studio APT #3 - w/clawfoot tub,1001851,Joe,,Capitol Hill,39.73444082066197,-104.98377035083135,Entire home/apt,65,30,56,2021-09-05,0.42,3,271,0,
1311993,Downtown Apt - Clean & Convenient! Brooks Tower 5I,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,89,30,11,2023-07-15,0.08,19,29,1,
1313699,"Platt Park Urban Getaway: entire house, families!",7138728,Ann,,Platt Park,39.68332,-104.97382,Entire home/apt,,29,28,2023-07-31,0.21,1,10,3,2021-BFN-0003953
1315790,Downtown 2x2 w/sunny exposure! Brooks Tower 6L,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,98,30,13,2021-08-02,0.10,19,29,0,
1327856,Downtown Oasis with GREAT Outdoor Rooftop!,7206373,Leila And Alex,,Capitol Hill,39.73484,-104.98193,Entire home/apt,,2,182,2024-03-03,1.38,1,1,6,2016-BFN-0007176
1337012,Logan Square APT #1 - 2 BR / 1.5 BA w/small shower,1001851,Joe,,Capitol Hill,39.73563,-104.98197,Entire home/apt,90,30,21,2018-10-07,0.16,3,329,0,
1339536,Downtown Apt w/Private Balcony! Brooks Tower 6N,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,65,30,7,2023-06-30,0.07,19,29,0,
1339557,Fully furnished - Urban Living - Brooks Tower 6D,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,68,30,9,2023-08-12,0.07,19,34,1,
1397309,Private balcony! Brooks Tower 6A,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,68,30,7,2023-09-19,0.05,19,32,2,
1402409,Spacious 1928 Bungalow near Sloan's Lake.,1382900,Pamela,,West Colfax,39.73995,-105.04053,Entire home/apt,260,3,163,2024-06-09,1.25,1,97,17,2021-BFN-0000150
1581384,2BR - West Highlands Sweet Retreat!,8410190,Deanna,,West Highland,39.76779,-105.05005,Entire home/apt,,30,85,2023-11-12,0.66,6,15,1,
1583103,W. Wash Park Artist Bungalow,8428229,Christina,,Speer,39.72088,-104.98371,Entire home/apt,,29,46,2024-05-09,0.65,1,2,6,
1637744,Park Hill Denver: Shady Retreat,8697449,Jennifer,,South Park Hill,39.74446,-104.91113,Private room,80,31,38,2021-11-19,0.35,1,295,0,
1641476,Cozy Creole Cottage by Sloan's Lake,8714815,Allison,,Sloan Lake,39.75459,-105.04991,Entire home/apt,350,3,74,2024-06-23,0.90,1,104,22,2021-BFN-0000429
1733052,Beautiful Private Basement Suite near Downtown,2416216,Jason,,Cheesman Park,39.73799,-104.97219,Private room,103,1,1529,2024-06-18,11.72,1,291,123,2016-BFN-0008749
1737365,Stylish & Historic LoHi Loft on Wyandot,3378084,Alexandra,,Highland,39.75901,-105.01541,Entire home/apt,119,29,79,2024-05-29,0.62,2,240,4,
1758820,Denver Washington Park Front Home,3158051,Maureen,,Washington Park,39.70187,-104.96718,Entire home/apt,,29,1,2022-03-05,0.04,1,0,0,2021-BFN-0009986
1785877,"European style pension, Cheesman Park",6674631,Cynthia,,Cheesman Park,39.7388,-104.96965,Private room,56,29,173,2023-09-24,1.33,3,317,2,
1792152,Peaceful Retreat in Congress Park,9402581,Rita,,Congress Park,39.73377,-104.94866,Private room,78,29,255,2023-12-26,2.03,2,335,1,
1801950,Best Location HUGE 1 bedroom loft,9447036,Zach,,CBD,39.74569,-104.99202,Entire home/apt,247,2,361,2024-06-14,3.06,5,123,57,2022-BFN-0016801
1905596,"Charming, cozy, private hideaway",5811115,Annette,,Berkeley,39.77954,-105.03991,Entire home/apt,110,30,75,2023-08-31,0.59,5,330,1,
1908529,Tennyson Treehouse in Denver,9904510,Debbie,,West Highland,39.76794,-105.04618,Entire home/apt,118,3,21,2024-06-28,5.78,1,170,21,2024-BFN-0008822
1959836,Artist Cottage in Denver,10033473,Anne,,Clayton,39.76476,-104.95804,Private room,39,30,296,2019-11-04,2.31,1,86,0,
2061222,Sunny private house with off-street parking,5124037,Darja,,Montclair,39.74008,-104.91957,Entire home/apt,109,29,34,2018-01-01,0.28,3,334,0,2017-BFN-0000201
2104774,"Skylight,No car needed,Cozy,quiet,no smoking,CLEAN",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,78,30,53,2024-03-31,0.48,6,319,2,
2119667,Architect Owned Unique Retreat in the Art District,10535707,Nicole,,Lincoln Park,39.73499,-105.00108,Entire home/apt,258,29,414,2021-09-04,3.26,1,302,0,
2139342,Designer Home Away From Home,10917089,Jeffrey,,Hilltop,39.72112,-104.91342,Entire home/apt,90,30,160,2023-10-31,1.26,5,185,2,
2175370,PrivateBdrmShareBath*Welcome*Ladies*,9869829,Barbara,,University,39.6683,-104.96552,Private room,45,7,69,2023-02-05,0.55,1,154,0,2016-BFN-0007416
2216969,Modern Studio,10917089,Jeffrey,,Hilltop,39.7212,-104.91337,Entire home/apt,55,30,161,2024-06-08,1.52,5,301,5,
2232323,"Cozy Cottage in the Country Club,",11393480,Darrow,,Country Club,39.72367,-104.96557,Entire home/apt,260,7,100,2024-06-20,0.80,1,343,7,2017-BFN-0001514
2235726,Executive LODO Loft,11414205,Todd,,Union Station,39.75392809200818,-104.99667984547165,Entire home/apt,250,30,0,,,1,365,0,
2239191,"Entire Home - Roomy 3BR, Victorian. Near RINO/DWTN",1239512,Zorab,,Clayton,39.76768,-104.9551,Entire home/apt,210,3,91,2024-06-29,0.82,1,335,10,2017-BFN-0002932
2243316,"BEST! Location,no smoking,quiet,NoCleaningFee!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,60,29,39,2024-04-29,0.31,6,332,5,
2361919,The Cloisters at Berkeley,5811115,Annette,,Berkeley,39.7796,-105.03859,Entire home/apt,70,30,49,2023-12-30,0.39,5,332,2,
2466830,HISTORIC COTTAGE IN BONNIE BRAE,6896064,Greg,,Cory - Merrill,39.69062,-104.9548,Entire home/apt,300,29,11,2021-05-23,0.11,1,349,0,2018-BFN-0005028
2467260,parkside5280,11000035,Ryan,,City Park,39.74241,-104.95097,Entire home/apt,183,1,591,2024-06-12,4.78,1,110,42,2018-BFN-0008030
2487185,Beautifully remodeled-Just Minutes from Downtown!,4706233,Jeffrey,,Athmar Park,39.7038,-105.0116,Entire home/apt,189,3,21,2024-05-27,0.28,2,290,1,2019-BFN-0011743
2599115,Cozy Eastbridge Home walk to everything!,10128382,Kerry,,Stapleton,39.75778,-104.85861,Entire home/apt,187,2,219,2024-06-03,1.76,1,298,20,2017-BFN-0001227
2817786,Private Queen Room w Ensuite Bath,14414164,Mary,,Five Points,39.74687,-104.97561,Private room,90,30,146,2023-08-20,1.19,1,0,1,
2875696,"Cozy condo, 700 sq ft. near Lowry",14699024,Julie,,Windsor,39.70705,-104.8916,Entire home/apt,,182,14,2022-09-30,0.11,1,197,0,
2908978,Peaceful Queen in Congress Park,9402581,Rita,,Congress Park,39.73396,-104.94702,Private room,60,29,208,2023-09-10,1.73,2,361,1,
2957097,Close to Downtown - Hot Tub - Beautifully Remodel,4706233,Jeffrey,,Athmar Park,39.70304,-105.01177,Entire home/apt,199,3,187,2024-06-16,1.53,2,290,17,2019-BFN-0011743
2960513,Historic 1800s townhouse @ downtown by Superhost,2544705,Gustavo,,Baker,39.72287,-104.995,Entire home/apt,77,31,99,2024-06-15,1.11,1,147,5,2017-BFN-0000613
2975710,Sloan's Lake Highlands Bungalow,15178224,Jennifer,,West Highland,39.75936,-105.04792,Entire home/apt,178,30,36,2024-05-31,0.30,1,211,7,
3138055,Classic Home on Capitol Hill,15933305,Sarah,,Capitol Hill,39.73193,-104.97878,Entire home/apt,,4,31,2023-09-22,0.43,2,0,2,2018-BFN-0004864
3150813,Modern Urban Oasis in Rino,135470,Mark,,Cole,39.77101,-104.96639,Entire home/apt,426,1,248,2024-06-02,2.04,1,350,10,2017-BFN-0001617
3280778,Art Deco Boho close to everything!,16581953,Jeff,,Athmar Park,39.70719,-105.01878,Entire home/apt,306,3,55,2024-06-22,1.73,1,64,21,2021-BFN-0008876
3334447,"Gorgeous 2 BR, 2 BA Townhome!",16835411,Sarah,,Five Points,39.75049,-104.97555,Entire home/apt,,3,168,2024-01-01,1.38,1,0,14,2019-BFN-0011425
3338717,Private basement apartment on park.,16853725,Nanci,,Rosedale,39.67652,-104.97801,Entire home/apt,97,2,218,2024-06-24,1.79,1,305,42,2016-BFN-0007960
3341556,1BD City Park Carriage House,16865529,Lori,,City Park West,39.74972,-104.97222,Entire home/apt,101,30,33,2024-03-23,0.28,2,249,4,
3404692,"Modern 3bd/3bath Home, walk to RiNo Arts District",180156649,Jacob,,Whittier,39.7574,-104.96713,Entire home/apt,194,1,294,2024-06-27,2.43,1,32,76,2022-BFN-0007379
3458369,Carriage House-Highlands Square,12969161,Jamie,,West Highland,39.76178,-105.03885,Entire home/apt,115,30,255,2021-05-08,2.10,1,86,0,
3463164,"CountryClub home, Quiet, Safe, Gated, Exclusive",10105976,Mike And Molly,,Fort Logan,39.64468,-105.0653,Private room,84,29,11,2019-05-17,0.10,1,87,0,
3479122,Unique 3-Level Loft in Famous Ballpark Neighborhood,17524202,Sam,,Five Points,39.75469,-104.98785,Entire home/apt,114,30,480,2020-06-02,3.95,2,180,0,
3542624,"Mod Downtown Perfection, 3BD w/ Patio, Fast WIFI",17833434,Clayton,,Lincoln Park,39.73248,-104.99906,Entire home/apt,211,2,152,2024-06-15,1.27,1,296,26,2020-BFN-0001541
3562277,Newly remodeled ground level basement 3 BR,17831791,Michelle,,University,39.6631,-104.96774,Private room,,31,10,2020-08-16,0.08,1,364,0,
3605358,Historic Mansion - Room and Bath,18168193,Georgia,,Capitol Hill,39.73308,-104.97996,Private room,115,2,247,2024-06-25,2.04,1,330,26,2019-BFN-0009791
3685552,"SkyView Loft, in Healing Center ~ 30 DAYS OR MORE",1313972,Heather,,City Park,39.74172,-104.95845,Entire home/apt,89,30,108,2024-05-07,0.91,2,241,2,
3810191,Charming Bungalow in the Highlands,7879432,Cathy,,Berkeley,39.77321,-105.02888,Entire home/apt,109,3,48,2024-06-13,0.40,2,7,3,2022-BFN-0010747
3829793,Modern 1 Bed / 1 Bath Apartment in Uptown,2537989,Kristin,,North Capitol Hill,39.74367,-104.97908,Entire home/apt,103,60,11,2023-11-27,0.09,1,322,2,
3891080,Charming vintage Five Points apt,20134025,Kelly,,Five Points,39.75229,-104.97978,Entire home/apt,110,2,62,2024-06-25,3.82,1,10,33,2022-BFN-0020462
3960763,Relax in Denver's Best Neighborhood Platt Park!,20525963,Julie,,Platt Park,39.68769,-104.98715,Entire home/apt,149,2,29,2023-07-23,0.24,1,19,1,2023-BFN-0013155
4000181,Beautiful 2bed/1 bath Loft in Downtown Denver,20739244,Mark + Shahana,,Five Points,39.760994,-104.996796,Entire home/apt,123,29,21,2024-06-01,0.18,2,323,2,
4052272,The Spectrum Inn,18930052,Nikki & James,,Skyland,39.76146,-104.9503,Entire home/apt,105,30,170,2022-08-29,1.44,1,29,0,2017-BFN-0001623
4080404,Relax on City Park + Barrel Steam Sauna + Hot Tub,11706428,Aaron,,Skyland,39.75546,-104.95573,Entire home/apt,160,2,274,2024-06-09,4.45,1,153,43,2019-BFN-0008252
4135913,2 Cozy Rooms in Beautiful Shared Home near DIA,21456101,Jeff,,DIA,39.81750847806734,-104.76467765419835,Private room,,1,19,2023-11-19,1.65,1,0,19,2023-BFN-0020012
4137490,40th Floor with Endless Mountain & City Views,860762,Corey & Heidi,,CBD,39.74458,-104.99588,Entire home/apt,205,30,12,2022-08-07,0.17,1,0,0,
4180622,Modern Guest House in Berkeley Lake,5416557,Maureen,,Berkeley,39.77658,-105.04629,Entire home/apt,150,30,239,2021-11-15,2.06,1,66,0,
